Ticker_gse,Stock Name_gse,Value_gse,Date Value_gse,yearQuar_gse,DOW JONES COMPOSITE AVERAGE,DOW JONES INDUSTRIAL AVERAGE,DOW JONES TRANSPORTATION AVERAGE,DOW JONES UTILITY AVERAGE,S&P 500,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE,PARKS PERCENT CHANGE FROM BASELINE,RESIDENTIAL PERCENT CHANGE FROM BASELINE,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE,WORKPLACES PERCENT CHANGE FROM BASELINE,Value_jodi,month,year,COAL PRODUCTION TOTAL U.S._shortene,U.S. CRUDE OIL PRODUCTION_shortene,U.S. TOTAL ENERGY CONSUMPTION_shortene,LONG-TERM INTEREST RATES_interates,SHORT-TERM INTEREST RATES_interates,SINGAPORE JET KERO VS SINGAPORE GASOIL SWAP_enerfutup,BRENT CRUDE OIL (DOLLARS PER BARREL),WTI CRUDE OIL (DOLLARS PER BARREL),Polarity
VLO,VALERO ENERGY CORPORATION,78.15,2/25/2021,2021Q1,10363.89,31402.01,13372.26,814.39,3829.34,-5.882352941,-4.614213198,6.480808081,-16.16666667,-27.48,-18.18845701,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.69,63.43,-0.133316302
XOM,EXXON MOBIL CORPORATION,55.76,2/25/2021,2021Q1,10363.89,31402.01,13372.26,814.39,3829.34,-5.882352941,-4.614213198,6.480808081,-16.16666667,-27.48,-18.18845701,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.69,63.43,-0.133316302
MPC,MARATHON PETROLEUM CORPORATION,55.07,2/25/2021,2021Q1,10363.89,31402.01,13372.26,814.39,3829.34,-5.882352941,-4.614213198,6.480808081,-16.16666667,-27.48,-18.18845701,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.69,63.43,-0.133316302
OXY,OCCIDENTAL PETROLEUM CORPORATION,26.75,2/25/2021,2021Q1,10363.89,31402.01,13372.26,814.39,3829.34,-5.882352941,-4.614213198,6.480808081,-16.16666667,-27.48,-18.18845701,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.69,63.43,-0.133316302
CVX,CHEVRON CORPORATION,102.35,2/25/2021,2021Q1,10363.89,31402.01,13372.26,814.39,3829.34,-5.882352941,-4.614213198,6.480808081,-16.16666667,-27.48,-18.18845701,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.69,63.43,-0.133316302
PSX,PHILLIPS 66,84.64,2/25/2021,2021Q1,10363.89,31402.01,13372.26,814.39,3829.34,-5.882352941,-4.614213198,6.480808081,-16.16666667,-27.48,-18.18845701,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.69,63.43,-0.133316302
COP,CONOCOPHILLIPS,53.03,2/25/2021,2021Q1,10363.89,31402.01,13372.26,814.39,3829.34,-5.882352941,-4.614213198,6.480808081,-16.16666667,-27.48,-18.18845701,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.69,63.43,-0.133316302
MRO,MARATHON OIL CORPORATION,11.3,2/25/2021,2021Q1,10363.89,31402.01,13372.26,814.39,3829.34,-5.882352941,-4.614213198,6.480808081,-16.16666667,-27.48,-18.18845701,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.69,63.43,-0.133316302
BP,BP P.L.C.,25.59,2/25/2021,2021Q1,10363.89,31402.01,13372.26,814.39,3829.34,-5.882352941,-4.614213198,6.480808081,-16.16666667,-27.48,-18.18845701,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.69,63.43,-0.133316302
PXD,PIONEER NATURAL RESOURCES COMPANY,149.05,2/25/2021,2021Q1,10363.89,31402.01,13372.26,814.39,3829.34,-5.882352941,-4.614213198,6.480808081,-16.16666667,-27.48,-18.18845701,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.69,63.43,-0.133316302
VLO,VALERO ENERGY CORPORATION,78.16,2/24/2021,2021Q1,10547.4,31961.86,13630.55,825.65,3925.43,-5,5.478947368,6.168032787,-14,-25.96153846,-18.12808461,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.85,63.21,-0.166632055
XOM,EXXON MOBIL CORPORATION,56.7,2/24/2021,2021Q1,10547.4,31961.86,13630.55,825.65,3925.43,-5,5.478947368,6.168032787,-14,-25.96153846,-18.12808461,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.85,63.21,-0.166632055
MPC,MARATHON PETROLEUM CORPORATION,56.65,2/24/2021,2021Q1,10547.4,31961.86,13630.55,825.65,3925.43,-5,5.478947368,6.168032787,-14,-25.96153846,-18.12808461,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.85,63.21,-0.166632055
OXY,OCCIDENTAL PETROLEUM CORPORATION,28.16,2/24/2021,2021Q1,10547.4,31961.86,13630.55,825.65,3925.43,-5,5.478947368,6.168032787,-14,-25.96153846,-18.12808461,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.85,63.21,-0.166632055
CVX,CHEVRON CORPORATION,103.31,2/24/2021,2021Q1,10547.4,31961.86,13630.55,825.65,3925.43,-5,5.478947368,6.168032787,-14,-25.96153846,-18.12808461,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.85,63.21,-0.166632055
PSX,PHILLIPS 66,87.25,2/24/2021,2021Q1,10547.4,31961.86,13630.55,825.65,3925.43,-5,5.478947368,6.168032787,-14,-25.96153846,-18.12808461,,2,2021,48.69,13.5,8.19,1.26,0.11,,66.85,63.21,-0.166632055
